Question,Claude_Answer,Correct_Answer,Is_Correct
도로교통법 상 시장 등은 교통사고의 위험으로부터 어린이를 보호하기 위하여 필요하다고 인정하...,2,2,True
도로교통법 상 '차'에 해당하는 것만을 모두 고르면?\nㄱ. 자전거  ㄴ. 유모차(너비 1...,3,3,True
도로교통법 시행규칙 상 도로상태가 위험하거나 도로 또는 그 부근에 위험물이 있는 경우에 필...,4,4,True
도시 및 주거환경정비법 상 정비기반시설이 열악하고 노후ㆍ불량건축물이 밀집한 지역에서 주거환...,1,1,True
도시·군계획시설의 결정·구조 및 설치기준에 관한 규칙 상 저류시설의 결정기준 및 구조·설치...,1,3,False
도시·군기본계획수립지침 상 방재·방범 및 안전계획에 대한 설명으로 옳지 않은 것은?,3,3,True
"도시공원 및 녹지 등에 관한 법률 상 녹지의 세분 중, 대기오염, 소음, 진동, 악취, 그...",2,2,True
독성은 거의 없으나 화재 시 다량으로 발생하면 사람의 호흡 속도를 매우 빠르게 하여 호흡 ...,2,2,True
"독일의 재난관리체계에서 화재, 폭우, 폭설 등의 재해로부터 주민을 보호하기 위한 구호단체를...",3,3,True
매슬로우(A. H. Maslow)의 욕구 5단계 이론에서 인간의 욕구를 단계별로 바르게 나...,3,3,True
맥그리거(D. McGregor)의 X이론과 Y이론의 인간해석 중 X이론의 관리처방에 해당하...,4,4,True
맥그리거(McGregor)의 이론에 따라 구분되는 인간의 두 가지 성향 중 Y이론에 해당하...,4,4,True
미국의 재난 관련 기관 및 대응계획에 대한 설명으로 옳은 것은?,1,1,True
미국의 재난관리 관련 법령을 제정된 시기 순으로 바르게 나열한 것은?\n\nㄱ. 포스트－카...,2,2,True
미세먼지 저감 및 관리에 관한 특별법령상 고농도 미세먼지 비상저감조치에 대한 설명으로 옳지...,2,2,True
미세먼지 저감 및 관리에 관한 특별법령상 미세먼지 생성물질에 해당하지 않는 것은?,1,1,True
'미세먼지 저감 및 관리에 관한 특별법'에 대한 설명으로 옳지 않은 것은?,1,1,True
밑줄 친 대통령령으로 정하는 시설에 해당하지 않는 것은?\n\n도로법 제2조(정의) 이 법...,2,2,True
방사능 사고의 정도와 상황에 따른 방사선 비상의 종류에 해당하지 않는 것은?,2,2,True
방진마스크의 선정기준에 대한 설명으로 옳지 않은 것은?,1,1,True
"버드(Bird)의 이론에 따라 재해발생비율을 구분할 때, 물적손실만 있는 무상해 사고가 1...",3,4,False
버드(F. Bird Jr.)의 이론에 따라 재해발생비율을 구분할 때 중상이 1건 발생하였을...,1,1,True
"버드(F. Bird Jr.)의 재해발생비율에서 (가), (나)에 들어갈 숫자를 바르게 연결...",1,1,True
범죄예방환경설계(CPTED: Crime Prevention through Environme...,2,2,True
블레이크와 모튼(R. Blake and J. Mouton)의 관리 격자 모형 중 생산에 대...,2,2,True
사고예방대책의 기본원리 5단계 중 '시정책의 적용' 단계에서 활용되는 하베이(J. H. H...,3,3,True
"사업장 위험성평가에 관한 지침 상 (가), (나)에 해당하는 용어를 바르게 연결한 것은?\...",1,1,True
산사태 발생이나 사면 거동에 영향을 미치는 요인은 내적 상태요인과 외적 유발요인으로 구분할...,4,4,True
산사태 방지를 위한 안전율 증가법 중 저항력 증가법에 해당하지 않는 것은?,1,1,True
산사태발생에 대한 설명으로 옳지 않은 것은?,1,1,True
산업안전보건기준에 관한 규칙 상 ㉠～㉢에 들어갈 작업조건에 적합한 보호구로 옳은 것은?\n...,1,1,True
산업안전보건기준에 관한 규칙 상 폭발성 물질 및 유기과산화물에 해당하는 위험물질만을 모두 ...,2,2,True
"산업안전보건법 상 유해․위험작업에 대한 근로시간 제한과 관련하여 (가), (나)에 각각 들...",3,3,True
"산업안전보건법 시행규칙 상 사업주가 실시하는 안전보건교육 교육과정별 교육시간에서 (가), ...",4,4,True
산업안전보건법 시행령 상 건설공사 중 유해위험방지계획서 제출대상은?,1,1,True
산업안전보건법령상 건설공사 중 유해위험방지계획서 작성 대상이 아닌 것은?,4,4,True
산업안전보건법령상 안전보건표지와 바탕색의 연결로 옳은 것은?,2,2,True
산업재해율의 계산법 중 빈도율이 5일 때 그 의미는?,4,4,True
산업재해의 기본원인인 4M에 대한 설명으로 옳지 않은 것은?,2,4,False
생물무기의 특성으로 옳지 않은 것은?,3,3,True
"선형적, 기계적인 과정만을 따르는 것이 아니라 비선형적, 유기적 혹은 진화적인 과정을 따를...",2,4,False
소방기본법 상 생활안전활동에 해당하는 것만을 모두 고르면?\nㄱ. 산불에 대한 예방ㆍ진압 ...,3,3,True
소방기본법 상 용어에 대한 정의로 옳지 않은 것은?,1,1,True
"소방시설 설치 및 관리에 관한 법률 시행령 상 '무창층' 정의에서 (A), (B)에 들어갈...",2,2,True
수자원의 조사·계획 및 관리에 관한 법률 시행규칙 상 홍수특보 발령에 필요한 홍수특보지점의...,3,3,True
스웨인(A. D. Swain)의 인적오류(Human error) 중 작업 수행과정에 필요한...,3,3,True
스프링클러설비의 종류 중 폐쇄형 스프링클러헤드를 사용하는 방식이 아닌 것은?,4,4,True
시설물의 안전 및 유지관리 실시 등에 관한 지침 상 성능평가에서 시설물을 사용한 연수 및 ...,2,2,True
시설물의 안전관리를 위한 철골 구조물에 대한 비파괴시험이 아닌 것은?,3,3,True
"시스템의 재난 위험 유형에 따른 효과와 위험도 등급을 표로 만들어 인명, 재산, 기반시설 ...",4,4,True
식품안전기본법 상 관계중앙행정기관에 해당하지 않는 것은?,2,2,True
식품안전기본법 상 사업자에 대한 설명에서 (가)에 해당하는 것만을 모두 고르면?\n\n'사...,4,4,True
식품안전기본법 상 식품안전 등에 관한 관계중앙행정기관이 아닌 것은?,3,3,True
식품안전기본법 상 식품안전에 대한 설명으로 옳지 않은 것은?,1,1,True
식품안전기본법 상 용어에 대한 정의로 옳지 않은 것은?,1,1,True
심장마비환자가 발생하였을 때 시행하는 심폐소생술(CPR)과 자동제세동기(AED)의 사용에 ...,1,1,True
아담스(E. Adams)의 사고연쇄반응이론을 구성하는 단계에 해당하지 않는 것은?,3,2,False
안전관리의 기본 원칙과 재해 발생에 대한 설명으로 옳지 않은 것은?,4,4,True
"안전보건표지의 종류 중 보안경 착용, 방독마스크 착용, 방진마스크 착용 등을 가리키며 바탕...",1,1,True
안전심리와 관련 요인에 대한 설명으로 옳은 것은?,2,2,True
안전의식을 감소시킬 수 있는 인적오류(human error)의 방지 대책으로 옳은 것만을 ...,3,3,True
앨더퍼(C. Alderfer)의 ERG 이론에서 설명하고 있는 인간의 욕구 3가지에 해당하...,4,4,True
엘니뇨 현상에 대한 설명으로 옳지 않은 것은?,2,2,True
연구실 안전환경 조성에 관한 법률 상 연구실안전심의위원회를 설치ㆍ운영하는 자는?,2,2,True
연소특성에 따른 화재 분류 시 항목별 설명으로 옳은 것은?,2,2,True
오존파괴지수(Ozone Depletion Potential)를 구하는 식이다. 빈칸에 들어...,2,2,True
우리나라에서 1990년대에 발생한 재난(사고)이 아닌 것은?,3,3,True
우리나라에서 채택하고 있는 구급 환자의 4단계 중증도 분류 체계에서 사망 및 생존 불능을 ...,4,4,True
우리나라의 태풍에 대한 설명으로 옳지 않은 것은?,4,4,True
우리나라의 홍수피해 유발요인에 대한 설명으로 옳지 않은 것은?,4,4,True
웨버(D. A. Weaver)의 사고연쇄성 이론에 따른 재해발생과정으로 옳은 것은?,1,3,False
"위험물안전관리법 상 용어 정의로서 (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n...",1,1,True
위험물안전관리법 시행령 상 제1류 ∼ 제6류 위험물의 성질에 해당하지 않는 것은?,1,1,True
위험물안전관리법 시행령 상 제4류 위험물의 품명별 물질을 바르게 연결한 것은?,3,2,False
응급의료에 관한 법률 상 소유자·점유자 또는 관리자가 심폐소생술을 할 수 있는 응급장비를 ...,3,3,True
이상 상황이 발생하면 확인하려 하고 긴급사태가 확인되면 반사적으로 위험으로부터 멀어지려고 ...,1,1,True
"인간의 착각현상에 대한 설명으로 (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n\...",2,2,True
"인화점, 발화점, 연소점에 대한 설명으로 옳지 않은 것은?",2,2,True
자연재해대책법 상 우수유출저감대책 및 우수유출저감시설에 대한 설명으로 옳지 않은 것은?,1,3,False
자연재해대책법 상 자연재해의 예방 및 대비에 대한 설명으로 옳지 않은 것은?,3,3,True
자연재해대책법 상 재해영향평가등의 협의에 대한 설명으로 옳지 않은 것은?,1,1,True
자연재해대책법 상 중앙행정기관인 재난관리책임기관의 장의 임무 또는 권한이 아닌 것은?,4,4,True
자연재해대책법 시행령 상 자연재해위험개선지구 정비계획을 수립할 때 검토하여야 할 사항이 아...,3,3,True
자연재해대책법 시행령 상 재해 위험 원인에 따라 구분된 자연재해위험개선지구에 해당하지 않는...,2,2,True
자연재해대책법령상 재해영향평가등의 협의에 대한 설명으로 옳지 않은 것은?,3,3,True
자연재해대책법령상 재해지도에 대한 설명으로 옳지 않은 것은?,4,2,False
자연재해대책법상 자연재해위험개선지구에 대한 설명으로 옳지 않은 것은?,3,2,False
'자연재해대책법'상 풍수해에 대한 설명으로 옳지 않은 것은?,3,3,True
자연재해의 유형별 특징에 대한 설명으로 옳은 것은?,4,4,True
작업을 수행하는 근로자의 생리적 부하를 계측하기 위한 지표인 에너지 대사율(RMR)을 나타...,4,4,True
작업을 안전하게 실시하기 위하여 작업공정의 요소 중 행동의 대상을 지적하고 큰 소리로 확인...,3,3,True
"장기기억 속에 존재하는 기존의 정보에 새로운 정보를 연결하거나 연합하는 것으로, 작동기억에...",2,2,True
재난 및 안전관리 기본법 상 기능별 재난대응 활동계획에 대한 설명으로 옳지 않은 것은?,2,2,True
재난 및 안전관리 기본법 상 긴급구조 현장지휘에 대한 설명으로 옳지 않은 것은?,4,4,True
재난 및 안전관리 기본법 상 긴급구조에 대한 설명으로 옳지 않은 것은?,3,3,True
"재난 및 안전관리 기본법 상 안전관리기구에 대해 (가), (나)에 들어갈 내용을 바르게 연...",1,1,True
재난 및 안전관리 기본법 상 자연재난과 사회재난의 예를 연결한 것으로 옳지 않은 것은?,4,4,True
재난 및 안전관리 기본법 상 자연재난에 해당하는 것만을 모두 고르면?\nㄱ. 화산활동으로 ...,3,1,False
재난 및 안전관리 기본법 상 재난 대비 단계에 해당하는 것은?,2,2,True
재난 및 안전관리 기본법 상 재난 대비 단계에서의 활동으로 옳은 것은?,3,3,True
재난 및 안전관리 기본법 상 재난관리의 대비단계 활동사항에 해당하는 것은?,2,2,True
재난 및 안전관리 기본법 상 재난방송과 재난 예보·경보 등에 대한 설명으로 옳은 것은?,4,4,True
재난 및 안전관리 기본법 상 재난분야 위기관리 매뉴얼에 관한 설명으로 옳지 않은 것은?,4,2,False
재난 및 안전관리 기본법 상 재난분야 위기관리 매뉴얼에 대한 설명으로 옳지 않은 것은?,3,3,True
재난 및 안전관리 기본법 상 재난분야 위기관리 매뉴얼에 대한 설명으로 옳지 않은 것은?,3,2,False
재난 및 안전관리 기본법 상 재난상황의 신고와 관리에 대한 설명으로 옳지 않은 것은?,4,4,True
재난 및 안전관리 기본법 상 재난의 대비 단계에서의 활동에 해당하지 않는 것은?,3,1,False
재난 및 안전관리 기본법 상 재난현장에서 임무를 직접 수행하는 기관의 행동조치 절차를 구체...,3,3,True
재난 및 안전관리 기본법 상 중앙안전관리위원회의 심의사항에 해당하지 않는 것은?,4,4,True
재난 및 안전관리 기본법 상 중앙재난안전대책본부의 본부장 권한을 행사할 수 없는 자는?,3,1,False
재난 및 안전관리 기본법 상 특별재난지역에 대한 설명으로 옳지 않은 것은?,2,2,True
재난 및 안전관리 기본법 상 행정안전부장관이 긴급안전점검 결과 재난 발생의 위험이 높다고 ...,4,4,True
재난 및 안전관리 기본법 시행령 상 긴급구조지원기관에 해당하지 않는 것은?,2,4,False
재난 및 안전관리 기본법 시행령 상 안전관리전문기관에 해당하는 것만을 모두 고르면?\n\n...,4,4,True
"재난 및 안전관리 기본법 시행령 상 중앙민관협력위원회에 참여하는 유관기관, 단체․협회 또는...",2,2,True
재난 및 안전관리 기본법령상 위기관리 매뉴얼협의회에 대한 설명으로 옳은 것만을 모두 고르면...,1,2,False
재난 및 안전관리 기본법령상 재난대비에 대한 설명으로 옳지 않은 것은?,1,1,True
재난 및 안전관리 기본법령상 재난원인조사에 대한 설명으로 옳지 않은 것은?,3,3,True
재난 및 안전관리 기본법령상 재난의 대응에 대한 설명으로 옳지 않은 것은?,1,2,False
'재난 및 안전관리 기본법령'상 특정관리대상지역의 지정 및 관리 등에 대한 설명으로 옳지 ...,2,3,False
'재난 및 안전관리 기본법령'상 피해조사 및 복구계획에 대한 설명으로 옳지 않은 것은?,1,3,False
'재난 및 안전관리 기본법'상 재난의 대비에 대한 설명으로 옳지 않은 것은?,1,1,True
재난경감방법 중 구조적 경감방법이 아닌 것은?,2,2,True
재난관리 단계 중 대응단계의 활동으로 가장 적절한 것은?,3,3,True
재난관리방식 중 통합관리 방식에 대한 설명으로 옳지 않은 것은?,4,4,True
재난관리방식 중 통합관리방식의 특징에 해당하는 것만을 모두 고르면?\nㄱ. 정보전달체계의 ...,2,2,True
재난관리방식과 그 특징의 연결이 옳지 않은 것은?,4,4,True
재난관리방식에 대한 설명으로 옳지 않은 것은?,2,2,True
재난관리의 예방․대비․대응 및 복구 단계에 대한 설명으로 옳은 것은?,3,3,True
재난안전 관련 용어에 대한 설명으로 적절하지 않은 것은?,1,1,True
재난의 유형이 대형화․복합화되는 미래사회의 재난관리에 대한 설명으로 적절하지 않은 것은?,2,2,True
재난이론과 주장한 학자 또는 학파의 연결이 옳은 것만을 모두 고르면?\nㄱ. 고도신뢰이론 ...,1,1,True
재해경감을 위한 기업의 자율활동 지원에 관한 법령상 재난관리표준에 대한 설명으로 옳은 것은...,3,3,True
재해경감을 위한 기업의 자율활동 지원에 관한 법령상 재난관리표준에 대한 설명으로 옳지 않은...,2,2,True
재해경감을 위한 기업의 자율활동 지원에 관한 법률 상 재해경감 우수기업에 대한 지원 내용에...,4,4,True
재해발생 시 긴급조치의 순서를 바르게 나열한 것은?\nㄱ. 2차 재해예방 ㄴ. 현장보존\n...,3,3,True
"재해발생 원인을 불안전한 행동과 불안전한 상태로 구분할 때, 불안전한 상태에 해당하는 것은...",1,1,True
재해의 기본요인인 4M에서 기계적(Machine) 요인은?,3,3,True
"정상강우백분율(PNP, Percent of Normal Precipitation)과 표준 ...",1,1,True
제1인산암모늄(NH$_4$H$_2$PO$_4$)이 주성분인 제3종 분말소화약제의 적응화재만...,2,2,True
존스(David K. C. Jones)의 재해 분류에서 지구물리학적 재해에 해당하지 않는 ...,4,4,True
주의보와 경보로 분류하는 기상청의 기상특보 기준 중 주의보 기준으로 옳지 않은 것은?,1,1,True
"중대재해 처벌 등에 관한 법률 상 특정 원료 또는 제조물, 공중이용시설 또는 공중교통수단의...",2,2,True
"중첩화, 분권화, 몰입감 및 책임성 강화의 전략적 효과를 나타내는 재난관리조직의 구조적 속...",2,2,True
지구온난화 및 기상이변에 대한 설명으로 옳지 않은 것은?,3,3,True
지리정보시스템(GIS)으로 수행할 수 있는 공간분석 방법과 관련이 적은 것은?,1,1,True
'지진․화산재해대책법령'상 지진해일 관측시설 및 관측장비의 설치기준에 해당하는 것은?,3,3,True
지진·화산재해대책법 시행령 상 지진가속도계측 대상 시설에 해당하는 것만을 모두 고르면?\n...,2,4,False
지하 저장 탱크와 같이 산소가 불충분한 경우에 작업자가 착용해야 할 개인보호구는?,3,3,True
찰스 페로(Charles Perrow)가 기술한 정상사고(Normal Accident)에 ...,3,3,True
최초의 완만한 연소가 격렬한 폭굉에 이를 때까지의 거리인 폭굉유도거리에 대한 설명으로 옳지...,2,2,True
퀘렌텔리(Quarantelli)는 전통적 분산대응체계가 통합대응 방식으로 전환되어야 한다고...,3,3,True
태풍의 규모와 그 규모에 따르는 영향을 5개의 범주로 분류한 것은?,3,3,True
통계적 재해원인 분석방법에 대한 설명으로 옳지 않은 것은?,3,3,True
폭발원인물질의 상태에 따른 분류에서 기상폭발에 해당하는 것만을 모두 고르면?\nㄱ. 분해폭...,1,3,False
풍수해 저감대책은 구조적 저감대책과 비구조적 저감대책으로 나눌 수 있다. 비구조적 저감대책...,2,2,True
"프랭크 버드 주니어(Frank Bird Jr)의 재해 구성 비율에 따르면, 120건의 무상...",2,3,False
필요적 행정심판전치일 경우에 행정심판을 제기함이 없이 취소소송을 제기할 수 있는 경우가 아...,3,3,True
하인리히(H. W. Heinrich)의 이론에 따라 재해발생비율을 구분할 때 사망 또는 중...,3,3,True
하인리히(H. W. Heinrich)의 재해 코스트 산정방식에 대한 설명으로 옳지 않은 것...,1,2,False
하인리히(H. W. Heinrich)의 재해손실비 산정이론에서 직접비가 1억 원인 경우 간...,2,2,True
항고소송에 대한 판례의 입장으로 옳은 것만을 모두 고르면?\n\nㄱ. 건축물대장 소관청의 ...,2,2,True
행동과학자 레빈(K. Lewin)은 인간행위(Behavior)가 인간이 지니고 있는 조건과...,3,3,True
행정계획에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),1,1,True
행정기본법 상 부관에 대한 설명으로 옳지 않은 것은?,4,4,True
'행정기본법'상 처분의 취소 및 철회에 대한 설명으로 옳지 않은 것은?,2,2,True
행정법관계의 성립과 소멸에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함...,4,2,False
행정법의 일반원칙에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),2,2,True
행정법의 일반원칙에 대한 판례의 입장으로 옳지 않은 것은?,4,4,True
행정상 손실보상에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),4,4,True
행정심판법상 행정심판에 대한 설명으로 옳지 않은 것은?,2,2,True
행정심판법에 대한 설명으로 옳은 것은?,3,3,True
행정입법에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 의함),1,2,False
행정절차법 상 행정처분의 사전통지에 대한 설명으로 옳은 것은? (다툼이 있는 경우 판례에 ...,3,3,True
행정행위에 대한 설명으로 옳은 것은?,3,3,True
행정행위의 부관에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),4,4,True
행정행위의 하자에 대한 설명으로 옳지 않은 것은? (다툼이 있는 경우 판례에 의함),3,3,True
행정행위의 효력에 관한 판례에 대한 설명으로 옳은 것은?,4,4,True
화재 발생 시 나타나는 인간의 피난본능 중 다음 현상에 해당하는 것은?\n\n화재의 발생 ...,1,1,True
화재발생 현상 중에서 플래시오버(flash over)에 해당하는 것은?,3,3,True
"화재예방, 소방시설 설치·유지 및 안전관리에 관한 법률 시행령 상 소방시설 중 피난구조설비...",4,4,True
화학물질관리법 상 용어에 대한 설명으로 옳지 않은 것은?,2,2,True
화학전이나 테러에 사용될 수 있는 신경계 독성물질이 아닌 것은?,4,4,True
"황사경보 기준으로 (가), (나)에 들어갈 내용을 바르게 연결한 것은?\n황사로 인해 1시...",4,4,True
재난 및 안전관리 기본법 상 긴급구조 현장지휘에 대한 설명으로 옳지 않은 것은?,1,4,False
재난 및 안전관리 기본법 상 다중이용시설의 위기상황 대비 매뉴얼에 대한 설명으로 ㉠ ～ ㉢...,3,3,True
재난 및 안전관리 기본법 상 위험구역에 대한 설명으로 옳지 않은 것은?,4,4,True
재난 및 안전관리 기본법 상 재난의 대응단계에서 시장․군수․ 구청장이 취할 수 있는 조치에...,3,1,False
재난 및 안전관리 기본법 상 재난의 복구비용에 대한 설명으로 옳지 않은 것은?,1,1,True
재난 및 안전관리 기본법 상 재정 및 보상 등에 대한 설명으로 옳은 것은?,2,4,False
재난 및 안전관리 기본법 시행령 상 재난관리책임기관의 장이 B등급과 D등급을 받은 특정관리...,1,1,True
재난 및 안전관리 기본법령상 지역축제 안전관리계획 수립 및 안전관리 조치를 하여야 하는 지...,2,2,True
"건축․구조물 화재의 소실 정도에 따른 분류로 ㉠, ㉡에 들어갈 숫자를 옳게 짝지은 것은?\...",3,4,False
건축법령상 규정된 건물 내 피난대피시설에 대한 설명으로 옳지 않은 것은?,2,2,True
경관법령상 경관계획에 대한 설명으로 옳지 않은 것은?,3,3,True
교통안전법 시행령 상 일반교통안전진단을 받아야 하는 사항만을 모두 고른 것은?\nㄱ. 총 ...,3,3,True
국토의 계획 및 이용에 관한 법률 상 도시․군기본계획의 내용이 아닌 것은?,3,3,True
국토의 계획 및 이용에 관한 법률 시행령 상 기반시설에 포함되지 않는 것은?,2,2,True
다음은 '재난 및 안전관리 기본법 시행령'의 일부이다. ㉠～㉢에 들어갈 내용으로 옳은 것을...,3,3,True
"다음의 설명에 해당하는 제도는?\n소규모 개발에 의한 난개발, 단조로운 경관 등의 문제를 ...",1,1,True
도시․군계획시설의 결정․구조 및 설치기준에 관한 규칙 상 도로의 구분에 대한 설명으로 옳지...,4,4,True
도시․군관리계획수립지침 상 방재지구로 지정할 수 있는 지역으로 옳지 않은 것은?,3,3,True
도시계획시설 투자에서의 민간투자방식에 대한 설명으로 옳지 않은 것은?,3,3,True
도시공원 및 녹지 등에 관한 법률 상 녹지의 분류에 해당하지 않는 것은?,4,4,True
미세먼지 저감 및 관리에 관한 특별법 상 미세먼지 관리에 대한 설명으로 옳은 것은?,2,4,False
보행자전용도로의 결정기준으로 옳지 않은 것은?,1,1,True
산업안전보건법 제41조(물질안전보건자료의 작성․비치 등)에 따라 작성․제공하여야 하는 물질...,2,2,True
산업안전보건법령상 물질안전보건자료(MSDS)의 작성 및 제공 원칙에 대한 설명으로 옳지 않...,2,2,True
소화기구 및 자동소화장치의 화재안전기준 에 대한 설명으로 옳지 않은 것은?,4,4,True
시설물의 안전관리에 관한 특별법 상 시설물 안전점검 및 안전 진단에 대한 설명으로 옳지 않...,4,1,False
시설물의 안전관리에 관한 특별법 상 시설물의 안전과 유지관리에 관한 기본계획에 포함되어야 ...,4,4,True
시설물의 안전관리에 관한 특별법 시행령 상 제1종시설물이 아닌 것은?,2,3,False
식품안전기본법 상 용어 정의에 대한 설명으로 옳지 않은 것은?,1,1,True
식품ㆍ의약품 등의 안전기술 진흥법 상 '식품․의약품 등'에 해당하지 않는 것은?,3,4,False
원자력시설 등의 방호 및 방사능 방재 대책법 상 방사능 재난안전관리에 대한 설명으로 옳지 ...,2,2,True
위험물안전관리법 시행령 상 제3류 위험물에 해당하는 것은?,2,2,True
자연재해대책법 상 대설로 인하여 재해를 입을 우려가 있어 내설(耐雪)설계기준을 정하고 그 ...,3,3,True
