Question,option 1,option 2,option 3,option 4,Answer,Model Response,Is Correct (O/X)
"자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)",비상대처계획 수립,우수유출저감대책의 평가,재해복구사업의 분석·평가,자연재해저감 종합계획의 수립,2,4,X
재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?,기상청:신속하고 정확한 호우특보 전파,교육부:긴급동원체계 및 인명구조 긴급지원태세 유지,산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화,보건복지부:재해지역 식중독 예방대책 추진,2,2,O
하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장,"ㄱ:5년, ㄴ:10년, ㄷ:30년","ㄱ:5년, ㄴ:10년, ㄷ:20년","ㄱ:10년, ㄴ:30년, ㄷ:30년","ㄱ:10년, ㄴ:30년, ㄷ:20년",3,2,X
재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?,침수 정보,현지 조사,정보 보안,재해정보지도 작성 방침,3,4,X
재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?,재해예방사업의 투자 우선순위,자연재해위험개선지구 지정 개선방안,재해복구사업 시행에 따른 각 시설물별 개선방안,지역발전성과 지역주민 생활환경의 쾌적성 향상방안,2,4,X
다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.,"㉮ : 인구, ㉯ : 경제","㉮ : 인구, ㉯ : 산업","㉮ : 산업, ㉯ : 경제","㉮ : 산업, ㉯ : 복지",2,1,X
자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?,옹벽,저류지,배수펌프장,방조제,1,2,X
댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?,위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.,위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.,위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.,인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.,4,4,O
자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?,자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.,주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.,"피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.","주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.",2,2,O
도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?,하천,저수지,상수도,방풍설비,3,3,O
자연재해대책법령상 상습가뭄재해지역에 대한 생활수∙먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책,"ㄱ, ㄴ ,ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,3,O
방재성능목표 달성에 필요한 재정적 수요를 고려한 사항을 모두 고른 것은?\n\nㄱ. 재해지역의 재정자립도\nㄴ. 재해지역의 소득지가 변동률\nㄷ. 재해지역의 도시화율\nㄹ. 재해지역의 시설물별 피해양상,"ㄱ, ㄴ","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ",3,4,X
침수흔적조사에 대한설명으로 틀린 것은?,침수흔적조사는 재해지도를 작성할 때 기초 자료로 활용하기 위하여 실시한다.,행안부장관은 침수범람 등의 피해가 발생한 경우 침수흔적을 조사하여야한다.,대하천의 범람 등 단기간 내 끝나지 않는 재해의 경우 재해진행현장을 조사하는 것이 가능하다.,피해발생 후 신속한 조사가 어려운 경우에는 전담기관 및 대행자에 의뢰하여 침수흔적 조사를 실시할 수 있다.,2,3,X
하천의 하상경사가 급하고 저수지의 관리수위이하의 저수율을 보유하고 있는 하천 시점부의 농경지에서의 취약한 재해유형은?,하천재해,가뭄재해,내수재해,토사재해,2,4,X
하천설계 시 하천제방에 대한 설계기준의 설명으로 틀린것은?,제방고는 계획홍수위에 여유고를 더한 높이 이상으로 한다,파랑고가 여유고보다 높은 경우는 파랑고를 여유고로 한다,계획홍수량이 200 m$^3$/sec 미만인경우 여유고는 0.6m이상으로 한다,계획홍수량이 200 m$^3$/sec 미만인경우 둑마루폭은 3.0m이상으로 한다,4,1,X
재난 및 안전관리 기본법령상 자연재난에 해당되지 않는 것은?,태풍,황사,폭염,미세먼지,4,4,O
"재해구호법령상 재난구호를 위한 의연금품 모집 목표액이 10억원일 때, 모집에 필요한 경비의 최고 한도액으로 옳은 것은?","15,000,000원","20,000,000원","25,000,000원","30,000,000원",2,1,X
"다음의 표를 이용하여 전체면적 5.0km$^2$인 지역의 내수재해 취약요인 분 석시 NRCS방법에 의한 유효우량 산정을 위한 유출 곡선지수(CN)를 옳게 산정한 것은? (단, 유역의 선행토양함수조건은 AMC-Ⅱ이다.)\n\n| 토지이용 | 면적(km$^2$) | 토양형 | 선행토양함수조건 | CN |\n| --- | --- | --- | --- | --- |\n| 공업지역 | 4.0 | A | AMC-Ⅱ | 81 |\n| 불투수지역 | 0.7 | B | AMC-Ⅱ | 98 |\n| 개발중인지역 | 0.3 | C | AMC-Ⅱ | 94 |",54.6,81,84.2,91,3,3,O
자연재해대책법령상 재해정보지도에 해당하지 않는 것은?,방재교육형 재해정보지도,보험산정형 재해정보지도,방재정보형 재해정보지도,피난활용형 재해정보지도,2,2,O
재난 및 안전관리 기본법령상 지역통제단장이 할 수 없는 응급조치는?,진화에 관한 응급조치,현장지휘통신체계의 확보,긴급수송 및 구조수단의 확보,"급수 수단의 확보, 긴급피난처 및 구호품의 확보",4,2,X
자연재해위험개선지구 정비계획 수립시 검토사항으로 모두 고른 것은?\n\n㉠ 정비사업의 타당성검토\n㉡ 다른 사업과의 중복 및 연계성 여부\n㉢ 정비사업에 따른 지역주민 의견 수렴결과 검토\n㉣ 재해위험개선지구별 경제성 분석등을 통한 투자우선순위검토,"㉠, ㉡","㉠, ㉢, ㉣","㉡, ㉢, ㉣","㉠, ㉡, ㉢, ㉣",4,4,O
"대도시 지역의 건물에 대한 침수면적-피해액 관계식(회귀식 사용)이 상수항은 0.23294, 침수면적항은 0.245s$^2$, 적합도는 0.63으로 나타났다. 다음과 같이 값이 주어지는 경우 대도시 지역의 건물피해 방지편익은 얼마인가? (단, s = 침수면적(ha) / 도시유형별 평균침수면적(ha)이다.)\n\n평균 침수면적 : 875.3ha\n침수면적 : 5.45ha\n평균 침수 피해액 : 206.8백만원\n홍수 빈도율 : 0.556",0.2백만원,26.8백만원,48.2백만원,255.0백만원,2,2,O
자연재해저감 종합계획 세부수립기준상 기초자료 조사 중 인문현황 조사의 내용이 아닌 것은?,수문현황,인구현황,산업현황,문화재현황,1,1,O
하천재해의 종류와 위험요인의 연결이 틀린 것은?,하천범람 - 계획홍수량 과소 책정,호안유실 - 제방고 및 제방여유고 부족,제방붕괴 - 하천횡단구조물 파괴에 따른 연속 파괴,하천 횡단구조물 파괴 - 교각부 콘크리트 유실,2,1,X
자연재해대책법령상 명시된 지역별 방재성능 목표 설정에 관한 사항으로 ( )에 알맞은 내용은?\n\n• ( ㉠ )는 홍수·호우등으로부터 재해를 예방하기 위한 방재정책 등에 적용하기위하여 처리가능한 시간당 강우량 및 연속 강우량의 목표를 지역별로 설정 운용할수 있도록 관계 중앙 행정기관장과 협의하여 방재성능목표를 설정기준을 마련하고 이를 특별시장·광역시장 시장 및 군수에게 통보하여야 한다.\n• 방재성능목표 설정 기준을 특별시장 광역시장 시장 및 군수는 해당 특별시 광역시(광역시에 속하는 군은 제외한다) 시 및 군에 대한 ( ㉡ )년 단위의 지역별 방재성능목표를 설정 공표하고 운용하여야 한다.,"㉠ 행정안전부장관, ㉡ 5년","㉠ 지방자치단체장, ㉡ 5년","㉠ 행정안전부장관, ㉡ 10년","㉠ 지방자치단체장, ㉡ 10년",3,2,X
자연재해대책법령사 자연재해위험 개선지구 정비계획 수립주기는?,1년,3년,5년,7년,3,3,O
자연재해대책법령상 재해정보 및 비상지원등에 관한 설명으로 틀린것은?,재난관리책임기관의 장은 자연재해가 발생하면 그 현황을 실시간으로 종합적인 재해정보체계에 입력하여야 한다.,지방자치단체의장은 필요하면 비상대처계획의 수립 실태를 점검할수있다.,해양경찰청은 해상에서의 각종지원 및 수난 구호등에 관한 사항에 대하여 긴급지원계획을 수립하여야 한다.,산업통상자원부장관은 종합 재해정보체계의 효율적인 활용을 위하여 재해정보체계 표준을 개발하여 보급하여야 한다.,4,3,X
재난 및 안전관리기본법령상 훈련주관기관의 장이 실시하는 재난대비훈련 평가항목으로 명시되지 않는 것은?,재해구호시설물 안전점검 실시,유관기관과의 협력체제 구축실태,장비의 종류·기능 및 수량 등 동원실태,분야별 전문인력 참여도 및 훈련목표 달성정도,1,1,O
자연재해위험개선지구 투자우선순위 결정을 위한 비용편익 분석방법 중 간편법(원단위법)에 대한 설명으로 틀린 것은?,사업의 경제성이 비교적 높게 평가된다.,하천이나 수계전체의 입장을 고려하지 못한다.,경제성 분석을 위한 소요자료 및 인력소요가 적다.,농작물 피해액을 기준으로 피해계수를적용하므로 예상피해액 산정방법이 간편하다.,1,2,X
지역외 저류시설의 구조형식이 아닌 것은?,댐식,굴착식,이단식,지하식,3,3,O
자연재해위험개선지구 유형이 아닌 것은?,침수위험지구,고립위험지구,토사위험지구,붕괴위험지구,3,2,X
"다음표를 참조하여 방재분야 표준품셈에 따른 자연재해저감 종합계획 단계에서 해안재해위험지구를 기준으로 하는 단위 업무의 기술사 소요인력은? (단, 해안재해 위험지구는 18개소이다.)\n\n| 구분 | 해안재해위험요인분석 |\n| --- | --- |\n| 단위 | 100개소 100km |\n| | 기술사 | 1.15 |\n| | 특급기술자 | 1.90 |\n| | 고급기술자 | 3.75 |\n| 소요인력(인/일) | 중급기술자 | 4.40 |\n| | 초급기술자 | 2.50 |\n| | 중급숙련자 | 1.90 |",0.21인/일,0.45인/일,0.66인/일,1.21인/일,1,3,X
하천치수사업의 경제적 편익으로 직접 편익에 해당하는 것은?,침수로 인한 오염 피해 감소효과,교통두절에 의한 물류유통 감소효과,교통두절에 의한 피해 감소효과,농경지 토사 매몰 방지효과,4,1,X
"자연재해대책법령상 개발사업의 부지면적이 5만제곱미터 미만이거나 개발사업의 길이가 10킬로미터 미만인 개발사업의 재해영향평가의 협의 기간은? (단, 협의기간연장에 관한 사항은 제외한다.)",20일,30일,40일,45일,2,1,X
하천의 홍수재해 피해저감을 위한 구조적 대책이 아닌 것은?,제방 설치 및 하천개수 공사,하수도 및 배수펌프장 설치,댐 설치,홍수방재 계획 수립,4,4,O
다음에서 설명하는 시방서는?\n\n시설물의 안전 및 공사시행의 적정성과 품질확보 등을 위해 시설물 별로 정한 표준적인 시공기준으로 모든공사에 공통으로 적용되는 기준의 설명서,개방시방서,전문시방서,전용시방서,표준시방서,4,4,O
방재계획의 기초자료 조사 시 조사항목과 관련자료의 연결로 틀린 것은?,지질현황 - 수치지질도,토양특성 - 정밀토양도,지형특성 - 수치지도,주문현황 - 행정지도,4,4,O
소하천 설계의 내용 중 틀린 것은?,수문의설치방향은 제방법선에 직각으로 최대한 간단한구조가 되도록한다.,"수문, 배수통문 등의 설치위치는 하폭이 급변하지 않고 하상변동이 가장 큰 지점으로 선정한다.","집수암거(집수정)의 위치는 보, 교량등과 같은 구조물 인접지점, 하상변동이 크거나 수충부 및 지천 합류부등의 지점은 피한다.","일반적으로 고정보의 본체는 콘크리트구조를 원칙으로 하며, 구조적 안정성을 만족하는 동시에 수리학적으로 유리한 단면으로 설계한다.",2,2,O
자연재해위험개선지구 유형에 대한 설명이 바르게 연결된 것은?,"유실위험지구 - 산사태, 절개사면 붕괴,낙석 등으로 인한 건축물이나 인명피해가 발생 또는 우려되는 지역","취약방재시설지구 - 배수문, 유수지. 저류지등 방재시설물이 노후화되어 재해발생이 우려되는 시설물",고립위험지구 - 하천의 외수범람 및 내수배제불량으로 인한 침수가 발생하여 피해를 유발하였거나 예상되는 지역,침수위험지구 - 집중호우 및 대설로 인하여 교통이 두절되어 지역주민의 생활에 고통을 주는 지역,2,1,X
"사면재해 발생 위험요인을 모두 고른 것은?\n\n㉠ 폐광, 송전탑 하부, 임도 불안정\n㉡ 지반 교란 행위\n㉢ 하류로 이송된 토사의 하구부 퇴적에 의한 하구폐쇄\n㉣ 배수시설의 유지관리 소홀","㉠, ㉡, ㉢","㉠, ㉡, ㉣","㉠, ㉢, ㉣","㉡, ㉢, ㉣",2,1,X
저수지∙댐의 안전관리 및 재해예방에 관한 법률 시행령상 재해위험 저수지∙댐으로 지정할 수 없는 것은?,댐의 상류지역에서 산사태 발생 우려가있는 댐,저수지에 퇴적물이 축적되어 홍수 대응능력이 부족하여 재해가 우려되는 저수지,시설물의 안전 및 유지관에 관한 특별법령에 따른 정밀안전진단 결과 E등급(불량) 판정을 받은 댐,수문학적 안전성이 부족하여 시설물의 안전 및 유지관리에 관한 특별법령에 따른 D등급 판정을 받은 댐 중에서 치수 능력을 증대하기 위한 사업이 진행중인 댐,4,3,X
자연재해대책법령상 방재관리대책대행자(이하 「대행자」라 한다)등록요건에 관한 설명으로 틀린것?,「기술사법」에 따른 기술사무소의 개설자는 대행자로 등록할수있다,기술인력1명이 2종 이상의 기술자격을 보유하고 있는 경우에는 1종 기술자격만 보유한 것으로 본다.,대행자로 등록하려는 자가 이미보유한 기술인력은 대행자등록을 위한 기술인력으로 중복하여 등록할수 있다.,대행자의 기술인력으로 고용된 사람은 지방자치단체등에 이중으로 취업 할수 있다.,4,3,X
토사유출량 산정시 중량단위 토사유출량은 체적단위 토사유출량으로 환산이 필요하다. 입경0.005mm이상 모래의 구성비가 85%일 때 레인-쾰저(Lane &Koelzer)의 경험식을 적용하면 퇴적토의 단위중량(ton/m$^3$)은?,약 0.94,약 1.37,약 1.47,약 1.57,3,3,O
"다음의 내용이 뜻하는 것으로 옳은 것은?\n\n건설공사 수급인 하자담보책임 규정에 의하면 건설업자의 목적물이 벽돌쌓기식 구조, 철근콘크리트구조, 철골구조 철골철근콘크리트 구조 그밖에 이와 유사한 구조로 된것인 경우에는 건설공사 완공일로부터 10년 그밖의 구조로 된것의 경우에는 건설공사 완공일로부터 5년기간 범위 내에서 발생한 하자에 대한 담보책임",하자담보,하자검사,하자책임기간,하자보수 보증금,1,3,X
"자연재해대책법령상 홍수,호우 등으로부터 재해를 예방하기 위한 방재정책에 적용하기 위하여 처리가능한 시간당 강우량 및 연속강우량의 목표를 지역별로 설정∙운용할수 있도록 한 기준은?",수방기준,방재기준,지역별 방재성능목표,지구단위 홍수방어기준,3,3,O
제방 붕괴의 원인이 아닌 것은?,퇴적,월류,비탈면 활동,파이핑 현상,1,1,O
자연재난 구호 및 복구비용 부담기준등에 관한 규정상 국고 추가지원을 산정시 고려되지 않는 것은?,풍수해 예방 보험료,행정안전부장관이 정하는 가감률,재해예방 노력지수에 따른 추가 지원율,최근 3년간 평균 재정력지수에 따른 추가 지원율,1,4,X
"자연재해위험 개선지구 관리지침의 자연재해위험 개선지구 비용편익 분석에서 침수면적, 침수심, 빈도의 함수로 재난피해액을 산정하는 경제성 평가방법은?",조건부가치측정법,간편법,개선법,다차원법,4,3,X
재난 및 안전관리 기본법령상 지역재난안전대책본부에 관한 사항으로 틀린 것은?,시∙군∙구대책본부의 장은 재난현장의 총괄∙조정 및 지원을 위하여 재난현장 통합지원본부를 설치∙운영할 수 없다.,시∙도대책본부 또는 시∙군∙구대책본부의 본부장은 시∙도지사 또는 시∙군∙구청장이 된다.,지역대책본부장은 지역대책본부의 업무를 총괄하고 필요하다고 인정하면 지역재난 안전대책본부회의를 소집할수 있다.,재난현장 통합지원본부의 장은 관할 시∙군∙구의 부단체장,1,1,O
다음 복합재해에 관한 설명으로 옳은 것은?,"복합재해 발생유역의 저감성평가는 정성적,정량적 평가를 실시할 필요 없다.",복합재해위험이 예상되는 지구에 대한 정량적 분석은 관련된 개별위험요인에 대한 분석을 수행하고 그 결과 최대위험요인을 적용한다.,"수계 및 유역단위 재해 저감성 평가는(개선복구사업 지역, 복합재해 발생지역, 피해시설 상ㆍ하류의 인명 및 재산피해 발생우려지역) 재해 복구사업 지역경제 발전성 평가에 해당한다.",복합재해 산정하는 방법은 소요인력 = 소요인력기준 × 내수재해특성에 따른 보정계수 × 지역적 특성에 따른 보정계수 이다.,2,2,O
자연재해위험개선지구 정비계획에 관한설명으로 틀린 것은?,시장·군수·구청장은 정비계획의 타당성을 5년마다 재검토하여 정비계획을 재정비 해야한다.,정비계획은 시·군·구 기초자치단체의 관할구역에 지정된 자연재해위험개선지구 전체를 대상으로 수립한다.,계획기간은 향후 10년을 목표연도로 설정하여 1년마다 정비계획을 수립한다.,재해위험성 투자우선순위 재해예방효과 등을 종합적으로 검토하여 중장기계획 수립,3,2,X
재해영향평가등의 협의 실무지침상 주차장 저류한계 수심은?,10cm,20cm,30cm,40cm,1,2,X
"지표의 상태에 따른 1ha당 토사유출량이 나지 200m$^3$/년, 초지 15m$^3$/년, 농경지 2m$^3$/년, 산림 1m$^3$/년이고 토지이용계획 중 나지 1.2ha, 초지0.5ha, 농경지 0.2ha, 산림 0.7ha일 때 토사유출량은?",232.7m$^3$/년,242.3m$^3$/년,244.4m$^3$/년,248.6m$^3$/년,4,1,X
"직접인건비 산정을 위한 소요인력이 다음과 같을 때 복합재해 (하천, 내수) 실시설계에 있어 직접인건비산출을 위한 기술사 소요인력 (인/일)은 얼마인가? (단, 하천실시설계 위험지구 연장은 2km이고 내수 실시설계 침수예장면적은 3km$^2$ 이며 펌프장이 없다고 가정한다. 지역적 특성 따른 보정계수 1.0 가정)\n\n| | 하천실시설계 | 내수실시설계 |\n| --- | --- | --- |\n| 기술사 | 21.00 | 58.00 |\n| 특급기술자 | 36.00 | 95.00 |\n| 고급기술자 | 63.00 | 125.00 |\n| 중급기술자 | 66.00 | 130.00 |\n| 초급기술자 | 61.00 | 110.00 |\n| 중급숙련자 | 10.00 | 15.00 |",46,58.12,75.56,102.7,2,2,O
"방재시설의 결함에 따른 보수,보강공법에 관한 사항으로 틀린 것은?",누수 - 그라우팅,사면의활동 - 차수막 공법,콘크리트의 동해와 열화에 의한 부삭 - 표층부 교체,콘크리트 균열과 철근 부식 - Sealing 재주입,2,4,X
"자연재해대책법령상 우수유출저감대책을 수립해야하는 사업에 해당하는지 않는것은? (단, 기타 사항은 고려하지 않음)",「고등교육법」에 따른 학교를 설립하는 경우의 건축공사,「도시개발법」에 따른 도시개발사업,「물환경보전법」에 따른 비점오염저감시설을 설치하는 대상사업,「중소기업진흥에 관한 법률」에 따른 단지조성사업,3,4,X
재난 및 안전관리 기본법령상 국가기반시설의 분류로 틀린 것은?,에너지 - 국외민간시설 - 원자력 - 정부주요시설,에너지 - 금융 - 원자력 - 식용수,교통수송 - 보건의료 - 원자력 - 환경,정보통신 - 금융 - 환경 - 교통수송,1,2,X
경제성평가 지표 중 모든 타당한 경제적 자료를 단일계산화하여 평가나 순위매김 가능하도록 한 방법?,순현재가치 (NPC),"편익, 비용비 (B/C ratio)",내부수익률 (IRR),수평균수입률 (NARR),1,2,X
자연재해위험개선지구 투자우선순위 결정을 위한 비용편익 분석방법중 간편법 편익 산정시 해당되지 않는 항목은?,농경지,이재민,농작물,인명손실,2,2,O
재난 및 안전관리기본법령상 특별재난의 범위에 관한설명이다 ( )에 들어갈 내용으로 옳은 것은?\n\n자연재난으로 「자연재난구호 및 복구비용 부담기준등에 관한 규정」에 따른 국고 지원대상 피해기준액의(ㄱ)배를 초과하는 피해가 발생한 재난자연재난으로서 「자연재난구호 및 복구비용기준등에 관한규정」에 따른 국고 지원대상에 해당하는 시·군·구의 갯수 읍·면·동에 갖춘환각 조에 따른 국고지원 대상 피해 기준금액(ㄴ)을 초과하는 피해가 발생한 재난,"ㄱ: 2.5, ㄴ: 4분의 1","ㄱ: 2.5, ㄴ: 2분의 1","ㄱ: 3, ㄴ: 4분의 1","ㄱ: 3, ㄴ: 2분의 1",1,3,X
자연재해대책법령상 자연재해저감종합계획수립 주기는 얼마인가?,3년,5년,7년,10년,4,2,X
재난 및 안전관리기본법령상 '사회재난'에 해당하는 것은?,태풍,낙뢰,소행성·유성체 등 자연우주물체의 추락·충돌,「미세먼지 저감 및 관리에 관한 특별법」에따른 미세먼지로인한 피해,4,4,O
재난 및 안전관리 기본법령상 국가안전관리기본계획을 작성할 책임을 가진 자는?,대통령,국무총리,행정안전부장관,재난관리책임기관 장,2,3,X
재난 및 안전관리 기본법령상 재난 및 사고유형별 재난관리주관기관 중 식용수(지방상수도포함) 사고를 주관하는 기관은?,국토교통부,환경부,보건복지부,행정안전부,2,2,O
바람 방재시설에 해당하지 않는 것은?,대피소,방수로,방풍림,방풍설비,2,2,O
산지지역에 취약한 재해유형으로 적합한 것은?,태풍,토석류,해일,내수침수,2,2,O
자연재해대책법령상 자연재해저감 종합계획의 수립에 관한 사항으로 ( )에 알맞은 내용은?\n\n• 시장(특별자치시장 및 행정시장은 제외한다) 군수는 자연재해의 예방 및 저감을 위하여 ( ㄱ )년마다 시·군 자연재해저감 종합계획을 수립하여 시∙도지사를 거쳐 대통령령으로 정하는 바에 따라 행정안전부장관의 승인을 받아 확정하여야 한다. • 시장∙군수 및 시∙도지사는 각각 시·군 종합계획 및 시 도 종합계획을 수립한날부터 ( ㄴ )년이 지난 경우 그 타당성 여부를 검토하여 필요한 경우에는 그 계획을 변경할 수 있다.,"ㄱ:5년, ㄴ:5년","ㄱ:5년, ㄴ:10년","ㄱ:10년, ㄴ:5년","ㄱ:10년, ㄴ:10년",3,2,X
하천재해의 발생원인이 아닌 것은?,TTP이탈,제방 유실,제방폭 협소,계획홍수량을 초과하는 이상호우,1,1,O
