Question,option 1,option 2,option 3,option 4,Answer,Model Response,Is Correct (O/X)
RRL 모델에 의한 홍수유출량 산정방법으로 옳은 것은?\n\n- Q 는 시간별 유출량(m$^3$/s)\n- I$_i$는 우량주상도의 i번째 시간구간의 강우강도 (mm/h)\n- A는 j시간의 유역출구 유출량에 기여하는 소유역 면적(km$^2$),$Q_j = 0.2777 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} I_i × A_{j+1-i}$,$Q_j = 0.2227 × \sum_{i=1}^{j} A_i × I_{j+1}$,$Q_j = 0.2777 × \sum_{i=1}^{j} A_i × I_{j+1}$,1,1,O
재해복구사업의 분석·평가 시행지침상 명시된 재해복구사업의 효과성· 경제성을 평가하는 경우 포함하여야 하는 사항이 아닌 것은?,재해복구사업의 차별성,재해복구사업 계획추진과 사후관리체계 적정성,침수유역과 관련된 재해복구사업의 침수저감능력과 경제성,재해복구사업으로 인한 지역의 발전성과 지역주민 생활환경의 쾌적성,1,1,O
자연현황 조사대상에 해당하지 않는 것은?,산업현황,하천현황,해상현황,지질·토양현황,1,1,O
우리나라의 지형적 특성에 따른 연안침식 유형이 아닌 것은?,이상파랑,토사포락,호안붕괴,백사장 침식,1,2,X
재해구호법령상 응급구호 및 재해구호 상황의 보고에 관한 사항중 ( )안에 들어갈 대상으로 옳은 것은?\n\n- 구호기관은 재해로 인하여 이재민이 발생하면 재해의 상황과 재해구호 내용을 ( )에게 보고하여야 한다.,시·도지사,구호지원기관의 장,행정안전부장관,지역보호센터의 장,3,3,O
폭풍해일 및 파랑으로 인한 재해 대책시설이 아닌 것은?,호안,흉벽,도류제,고조방파제,3,3,O
배수펌프 시설계획 수립에 관한 사항으로 틀린 것은?,총양정은 계획실양정으로 한다.,펌프용량은 유역의 유출특성과 유수지규모에 따라 결정한다.,계획실양정은 외수계획고수위와 내수의 저수위 수위차의 70~80% 범위로 한다.,펌프의 설비위치는 수리적으로 유리하도록 흡수정과 최대한 가깝게 한다.,1,3,X
"자연재해대책법령상 방재관리대책 대행자가 대행할 수 있는 방재관리대책 업무로 틀린 것은? (단, 그 밖에 대통령령으로 정하는 방재관리대책에 관한 업무는 제외한다.)",비상대처계획 수립,우수유출저감대책의 평가,재해복구사업의 분석·평가,자연재해저감 종합계획의 수립,2,4,X
재난대응훈련 프로그램 영역에서 위기관리 매뉴얼상의 정부 부처의 조치 목록이 잘못 연결된 것은?,기상청:신속하고 정확한 호우특보 전파,교육부:긴급동원체계 및 인명구조 긴급지원태세 유지,산림청:산사태 취약지역 및 임도피해 우려지역 예찰강화,보건복지부:재해지역 식중독 예방대책 추진,2,2,O
하수도설계기준상 측정된 강우자료 분석을 통한 다음 각각의 하수도 시설물별 최소 설계빈도는?\n\nㄱ: 지선관로\nㄴ: 간선관로\nㄷ: 빗물펌프장,"ㄱ:5년, ㄴ:10년, ㄷ:30년","ㄱ:5년, ㄴ:10년, ㄷ:20년","ㄱ:10년, ㄴ:30년, ㄷ:30년","ㄱ:10년, ㄴ:30년, ㄷ:20년",3,1,X
재해정보지도 작성후 지방자치단체의 장이 검토해야 하는 사항이 아닌 것은?,침수 정보,현지 조사,정보 보안,재해정보지도 작성 방침,3,4,X
재해복구사업의 분석·평가 시행지침상 재해복구사업 분석평가를 통해 도출된 문제점에 대한 개선방안 및 구체적인 활용방안으로 명시되지 않는 것은?,재해예방사업의 투자 우선순위,자연재해위험개선지구 지정 개선방안,재해복구사업 시행에 따른 각 시설물별 개선방안,지역발전성과 지역주민 생활환경의 쾌적성 향상방안,2,4,X
다음의 ( ) 안에 적합한 단어는?\n\n방재기초자료 조사 시 인문 사회현황조사는 ( ㉮ ) 현황조사와 ( ㉯ )현황조사로 구분한다.,"㉮ : 인구, ㉯ : 경제","㉮ : 인구, ㉯ : 산업","㉮ : 산업, ㉯ : 경제","㉮ : 산업, ㉯ : 복지",2,1,X
자연재해위험개선지구 관리지침상 침수위험 지구의 정비대상 시설물이 아닌 것은 ?,옹벽,저류지,배수펌프장,방조제,1,1,O
댐·저수지 붕괴등에 의한 하류위험지역의 위험도 평가시 인구에 대한 설명으로 틀린것은?,위험지역의 인구는 붕괴시 범람으로 인한 인명피해 잠재성의 정량화된 척도로 사용된다.,위험지역의 인구는 붕괴시 범람으로 인한 하류 위험지역으로부터 피난해야 될 사람의 수로 정의 할 수 있다.,위험지역의 인구는 상시 거주지뿐만 아니라 작업장과 임시거주지 인구까지 포함한다.,인구위험도는 PAR(Person At Risk)로 표시되기도 하는데 댐의 상류지역에 거주하는 사람의 수로 정의 할 수 있다.,4,4,O
자연재해저감 종합계획 세부수립기준상 자연재해 특성분석 현황조사에 관한 사항으로 틀린 것은?,자연재해 원인특성은 해당 재해별 특성을 구분하여 분석한다.,주요 자연재해 특성 분석 내용은 위험지구 예비후보지 대상선정에 활용할수 없다.,"피해현황은 국가재난관리정보시스템(NDMS)자료를 토대로 해당 자연재해로인하여 발생한 시설물별 피해 개소수, 피해액등의 피해현황을 조사한다.","주요자연재해 사상을 선정하여 주요내용(호우기간, 기상특성등), 기상개황, 기상특성, 자연재해원인특성, 피해현황, 복구현황, 피해원인분석등 대하 여기술한다.",2,2,O
도시·군 계획시설의 결정·구조 및 설치기준에관한 규칙상 방재시설이 아닌 것은?,하천,저수지,상수도,방풍설비,3,3,O
자연재해대책법령상 상습가뭄재해지역에 대한 생활수∙먹는물 분야의 중장기 대책에 포함되어야하는 사항을 모두 고른 것은?\n\nㄱ. 물 절약대책\nㄴ. 하수도 축소대책\nㄷ. 수질오염사고 예방대책\nㄹ. 가뭄단계별 재한급수대책,"ㄱ, ㄴ ,ㄷ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ","ㄴ, ㄷ, ㄹ",3,3,O
,,,,,,정답률: 70.00%,사용 모델: qwen/qwen3-30b-a3b-2507
